# Num. sources, num. seconds, time (sec)
9, 1.0, 8.2
100, 1.0, 8.4
1024, 1.0, 14.8
10000, 1.0, 35.4
9, 6.0, 22.5
100, 6.0, 21.2
1024, 6.0, 33.6
10000, 6.0, 185.8
9, 60.0, 141.6
100, 60.0, 145.3
1024, 60.0, 271.6
10000, 60.0, 1768.5
9, 600.0, 1325.8
100, 600.0, 1405.1
1024, 600.0, 2632.1
10000, 600.0, 6468.2
9, 1200.0, 0.0
100, 1200.0, 0.0
1024, 1200.0, 0.0
10000, 1200.0, 0.0
