# Num. sources, num. seconds, time (sec)
9, 1.0, 3.1
100, 1.0, 3.1
1024, 1.0, 3.1
10000, 1.0, 3.7
9, 6.0, 4.4
100, 6.0, 4.5
1024, 6.0, 4.8
10000, 6.0, 7.7
9, 60.0, 18.7
100, 60.0, 18.9
1024, 60.0, 21.9
10000, 60.0, 50.6
9, 600.0, 159.5
100, 600.0, 163.3
1024, 600.0, 195.4
10000, 600.0, 480.4
9, 1200.0, 317.6
100, 1200.0, 324.2
1024, 1200.0, 387.9
10000, 1200.0, 953.2
