9, 1.0, 10.7
9, 1.0, 17.7
9, 1.0, 18.8
9, 1.0, 13.5
100, 1.0, 17.6
100, 1.0, 17.7
100, 1.0, 21.3
100, 1.0, 20.2
1024, 1.0, 20.1
1024, 1.0, 19.4
1024, 1.0, 21.2
1024, 1.0, 21.4
10000, 1.0, 44.3
10000, 1.0, 47.7
10000, 1.0, 45.1
10000, 1.0, 45.7
9, 6.0, 51.6
9, 6.0, 61.4
9, 6.0, 60.7
9, 6.0, 64.6
100, 6.0, 57.8
100, 6.0, 57.4
100, 6.0, 57.2
100, 6.0, 56.7
1024, 6.0, 74.2
1024, 6.0, 74.1
1024, 6.0, 75.9
1024, 6.0, 78.2
10000, 6.0, 221.6
10000, 6.0, 225.2
10000, 6.0, 230.4
10000, 6.0, 224.0
9, 60.0, 453.7
9, 60.0, 462.6
9, 60.0, 526.6
9, 60.0, 551.8
100, 60.0, 453.9
100, 60.0, 502.7
100, 60.0, 471.4
100, 60.0, 452.3
1024, 60.0, 607.5
1024, 60.0, 596.5
1024, 60.0, 587.2
1024, 60.0, 633.5
10000, 60.0, 2162.5
9, 600.0, 0.4
10000, 60.0, 2119.3
100, 600.0, 0.3
9, 600.0, 0.4
1024, 600.0, 0.3
100, 600.0, 0.3
10000, 600.0, 0.4
1024, 600.0, 0.3
9, 1200.0, 0.3
10000, 600.0, 0.4
100, 1200.0, 0.3
9, 1200.0, 0.3
1024, 1200.0, 0.3
100, 1200.0, 0.3
10000, 1200.0, 0.4
1024, 1200.0, 0.4
10000, 1200.0, 0.4
10000, 60.0, 2155.2
9, 600.0, 0.4
100, 600.0, 0.4
1024, 600.0, 0.4
10000, 600.0, 0.4
10000, 60.0, 2120.9
9, 1200.0, 0.3
9, 600.0, 0.4
100, 1200.0, 0.3
100, 600.0, 0.3
1024, 1200.0, 0.3
1024, 600.0, 0.3
10000, 1200.0, 0.4
10000, 600.0, 0.4
9, 1200.0, 0.4
100, 1200.0, 0.4
1024, 1200.0, 0.4
10000, 1200.0, 0.4
